,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
116,꼬지사께 부산범일점,4.23,,15,7,8.33
117,떡실신,3.55,,20,3,7.65
118,진영곱창,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200904_122%2F1599205043507botmF_JPEG%2FIoHnE1DrmzQReUmxxGuxk3Hw.jpg,191,64,8.65
119,온정밥상,4.44,,19,,
120,미아케이크,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181013_111%2F1539412559297qJwg1_JPEG%2F2e0antJOoAoz65oZHbThMiU4.JPG.jpg,20,198,8.44
121,남문각,,,5,1,
122,스마일만나찹쌀꽈배기 수정점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200428_196%2F1588081419781j6Hli_JPEG%2FIkLNinGL8r4C6bi5Uvd__aab.jpg,3,14,
123,도담샤브 현대백화점 부산점,4.58,,115,9,8.68
124,아델라7 현대백화점 부산점,4.54,,128,2,8.64
125,샤브혼 현대백화점 부산점,4.46,,161,14,8.56
126,카페051 범천점,,,55,,
127,복성루,4.36,,147,,
128,은하식당,,,1,3,
129,아이리쉬,4.42,,108,1,8.52
130,홍보성,4.27,,39,2,8.37
131,홍보석 현대백화점부산점,4.37,,270,54,8.61
132,성화숯불갈비,,,7,,
133,오가네손칼국수,,,9,3,
134,중앙곱창막창,3.75,,10,3,7.85
135,511더치앤커피 부산진역점,4.31,,63,2,8.41
136,도토리편백집 현대백화점 부산점,,,1,,
137,행복식당,4.42,,11,2,8.52
138,문어사냥,,,,1,
139,커피인트리,4.31,,15,,
140,장수촌24시순대돼지국밥,4.39,,924,46,8.98
141,하루나루 케이크 하우스,4.2,,28,14,8.3
142,바다소리횟집,,,,,
143,카페렌토,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220526_264%2F1653543479037h0E3C_JPEG%2F%25B7%25BB%25C5%25E4_%25B3%25D7%25C0%25CC%25B9%25F6_%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F8-page-001.jpg,1,,
144,OK암소갈비 본점,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200604_18%2F15912817178654FMgS_JPEG%2FAxksis9t5VRZPkQymwpBFIyh.jpg,113,13,8.62
145,할매집,,,1,,
146,돼지밥집,,,,,
147,편장군족발 현대백화점 부산점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200518_207%2F1589798355933pomy0_JPEG%2F5g8mcs-HpbP0DnRC3EKL4T2z.jpg,418,2,8.7
148,웅촌식육점,,,1,2,
149,캐비아치킨,4.25,,10,,
150,조방기사식당,,,2,3,
151,수정루,,,5,,
152,수정각,4.37,,78,1,8.47
153,인잇 현대백화점부산점,,,9,3,
154,육교식당,,,4,,
155,대동국식당,,,3,1,
156,영계마을,4.39,,32,5,8.49
157,송백숯불농원,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190127_49%2F1548575880500b5o5G_JPEG%2FnHzcsxW8Sp1T7S7hf-1kpYiK.jpeg.jpg,38,2,8.37
158,부일횟집,,,2,,
159,제임스김밥,,,7,2,
160,책탑,,,,,
161,토박이집,,,2,,
162,내고향추어탕,4.45,,158,8,8.55
163,인얼스커피 현대백화점 부산점,4.44,,472,27,8.82
164,소양강횟집,4.77,,27,12,8.87
165,카마타케제면소 현대백화점부산점,4.25,,41,23,8.35
166,시키면돼지&시키면두마리치킨,,,5,,
167,범천가야밀면,4.25,,65,4,8.35
168,맵도리탕 범일동점,,,,,
169,다계촌 범일2점,,,,,
170,사또집,,,,,
171,룰루요거트 현대백화점 부산점,,,7,1,
172,던킨도너츠,4.79,,11,,
173,잣품은그집 현대백화점 부산점,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220112_69%2F1641967191452o9BKz_JPEG%2F1636338245209.jpg,52,1,8.74
174,불막열삼 부산진역점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211022_115%2F1634878508562KlMNg_PNG%2F9V18zkOTPXNk6dKC7dOMUHBf.png,3,2,
175,함지박분식,,,1,3,
176,송원식당,,,3,,
177,선영분식,4.68,,25,2,8.78
178,수정갈비탕,4.2,,22,,
179,빈센트,4.07,,28,6,8.17
180,올드팝,4.29,,21,,
181,빅맘마 김치찌개,,,1,,
182,제주오전복 현대백화점 부산점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200702_3%2F1593640637016FYtR5_JPEG%2F0eOxB8gtIBGULVo6YnvP-oLF.jpg,50,5,8.44
183,코야커피,4.32,,51,1,8.42
184,오복삼계탕,4.35,,120,18,8.45
185,카페온기,4.25,,191,5,8.35
186,금수저은수저,4.37,,34,1,8.47
187,만나분식,4.46,,24,,
188,동구밀면,,,14,,
189,부영갈비,,,11,,
190,BHC치킨 부산범내골점,4.47,,,33,
191,푸라닭 부산범일점,4.59,,,24,
192,등나무집아구찜,3.6,,13,2,7.7
193,범일식당,,,5,,
194,돈짱맛짱,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191030_17%2F1572409405157v9CSq_JPEG%2Fo6ohLJZi4a8dlQYfbiBXnjgM.JPG.jpg,141,8,8.39
195,유가네닭갈비 부산진역점,4.18,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200227_168%2F1582781176918XiVPI_PNG%2FSXlCZCIAbbp8qXO531FhjnsI.png,147,11,8.28
196,공차 현대백화점 부산점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_267%2F1587360983121KXDd7_JPEG%2FfotGlkovJ3UGT5Gkmzqd990T.jpg,449,12,8.87
197,서무결베이커리카페,4.25,,408,1,8.63
198,본가밀면,5,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2F20150725_295%2Fsshm1219_1437814075487pfBlR_JPEG%2F20150723_131145.jpg,20,3,9.1
199,삼겹이네 수정점,4.25,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200604_240%2F1591281372268oXid9_JPEG%2F1EMszSXIQBlZCEQrAYFyJ8FX.jpg,340,30,8.56
200,가스름제주생고기촌,4.32,,19,1,8.42
201,이박사생고기,4.5,,12,1,8.6
202,수정생아구탕,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200228_35%2F1582863924308PM0c7_JPEG%2FgxFfm5WGvZQfIo8YFJ7snM6h.jpg,87,3,8.59
203,손큰집,,,,2,
204,멕시칸좌천점,,,3,,
205,박민후대구탕본점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_196%2F14409877226564sXse_JPEG%2F137058633053689_0.jpeg,275,67,8.69
206,프랑스에다녀온붕어빵 부산점,,,1,8,
207,굽네치킨 부산범일점,4.33,,,3,
208,일송돼지목살숯불구이,4.14,,126,4,8.24
209,고흥식당,,,2,,
210,김대리비어,4.58,,74,1,8.68
211,만석미역 현대백화점 부산점,,,4,,
212,옵서예분식,,,1,1,
213,승승 범천점,4.44,,106,2,8.54
214,카페블룸,4.51,,100,19,8.61
215,남포수제비 현대백화점부산점,4.36,,420,14,8.74
216,남원추어탕,4.17,,11,4,8.27
217,커피집,,,5,,
218,브레드웨이,,,9,15,
219,엄마손순두부,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181112_97%2F1541993327118CuUEb_JPEG%2FMORQU2rpN4xxvXKH7LybSl-n.jpg,115,10,8.65
220,노르딕연어 현대백화점부산점,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200710_162%2F15943339098193NiCd_JPEG%2FlKqfuxsN8Goe5lsNhD-cqL2J.jpg,51,3,8.38
221,남양족발,4.4,,69,,
222,골목양분식,4.56,,27,,
223,양지추어탕,4.24,,143,8,8.34
224,팔도얼큰칼국수 현대백화점 부산점,,,7,3,
225,띠뚱전골,5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA0MDVfMTgx%2FMDAxNjQ5MTQyMTU4Nzcz.9QfXy0sXP6azOuE22wzpO39aMI1xfvv0q0H_OVqw5Icg.Bd-h2swkrTOmBUPeBr40iQMC_cmvkpThrhc8f1lsGWwg.JPEG.guga87%2F01.jpg,19,4,9.1
226,오오키돈까스,4.03,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200518_32%2F1589798442053BG4Gu_JPEG%2F_hN5I8V-uWrc7s3DuL9Co9kj.jpg,29,2,8.13
227,호면앤반 현대백화점부산점,4.25,,111,7,8.35
228,전주선비빔 현대백화점 부산점,4.31,,116,6,8.41
229,동성골목집,,,,,
230,북성로연탄구이 수정점,,,7,,
231,싱싱도매횟집,4.32,,56,2,8.42
232,미락원,4.14,,78,,
233,카페 마엔코,,,7,,
234,중앙돼지국밥,4.22,,85,4,8.32
235,다올복집,4.36,,83,8,8.46
236,옹헤야불백 현대백화점 부산점,4.48,,208,2,8.72
237,혼밥대장,,,3,,
238,중앙숯불갈비,4.14,,173,44,8.24
239,그린파이브 현대백화점부산점,4.31,,71,1,8.41
240,연돼지국밥 범천점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171221_286%2F1513788167477vqKH4_JPEG%2FeGeap_QGKLZUWd6wJzDZPNGl.jpg,195,28,8.48
241,다카라함바그 현대백화점 부산점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_40%2F1441095994550XdYXz_JPEG%2F166553524772871_0.jpeg,69,34,8.56
242,낭만돼지,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200620_261%2F1592642574957UXftY_JPEG%2FST9ymP8L6iR7GiaBFuE5h3TU.jpg,,,
243,카페노르딕,5,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA1MjJfMjky%2FMDAxNjUzMjI0NTc2MzYx.ar0Iwf3lBh01gOmPjGm1mn5jFegUnTULufjFao3ZHWUg.Ub6uxGGNancHpiJG6AXfAUlRQe115zxZF5ItDL97UYQg.JPEG.baeraedang%2FIMG_9702.jpg,12,1,9.1
244,움트 현대백화점 부산점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200427_82%2F1587966469024Sn0I8_JPEG%2FWpohv2TWH66Fv2HT2QoL-zuw.jpg,44,6,8.59
245,라라페포니,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211230_288%2F1640800943002jhtmo_JPEG%2FIMG_4914.JPG,1,467,
246,게이코,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200903_144%2F1599140362877of3rB_JPEG%2FP7LydzcR_YeQa6lFK16cbLvH.jpg,30,,
