,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
120,미락로바다야끼,4.51,,99,17,8.61
121,낙지야,3.99,,74,15,8.09
122,한솥도시락 부산중앙동2가점,4.36,,110,3,8.46
123,먹고갈래싸갈래,,,4,37,
124,홍문,4.39,,296,36,8.63
125,라무야애,4.82,,24,14,8.92
126,카페 중앙,4.24,,39,10,8.34
127,11월23일,,,56,40,
128,목포가,4.3,,63,49,8.4
129,일신명품한우,4.83,,81,13,8.93
130,동명칼국수,4.54,,346,156,8.85
131,말자씨부엌,4.35,,56,6,8.45
132,서진섭돼지국밥,4.22,,228,273,8.52
133,텐퍼센트커피 중앙동점,4.59,,852,14,9.18
134,맛있는고기에솜씨를더하다,4.56,,268,30,8.8
135,구포국수 중앙점,4.18,,87,22,8.28
136,백경식당,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200413_205%2F1586745916807KfCx1_JPEG%2FCgF-fjr2USgKy1_tl1yoWjj_.jpg,13,24,8.73
137,미도어묵,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190727_152%2F1564229091756EE4OC_JPEG%2FRSWQA21A0_ycTcUyqP3egjyC.jpg,762,,
138,이태리부대찌개 부산중앙점,4.62,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180411_12%2F1523406888994yWVsS_PNG%2FxCJvAIawjs7KRgslSPHHBIMN.png,279,67,8.86
139,부산복집,4.18,,125,27,8.28
140,소식구,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210710_102%2F1625917601011Bl6qa_JPEG%2FrEzPlwKOsoJPqmMABHwIQtLy.jpg,23,7,8.48
141,더밍고,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181020_135%2F1540020951839wNj8F_JPEG%2F6Wol71R2GheMWVQ12M0fjZK9.jpeg.jpg,12,156,8.66
142,가베향 중앙동점,4.5,,211,5,8.74
143,오로지디저트,4.73,,505,33,9.18
144,하회면가,,,2,,
145,8포인트,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191016_155%2F1571202436087Gvu96_JPEG%2FZtvG2uIpIlRhdIpu7fdqxNkY.jpg,483,40,8.94
146,청기와개미집,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200404_183%2F1585966752554hmRKK_JPEG%2FypMQ6JFl02eanRbSHpe3Gcp8.jpg,108,16,8.43
147,브라더스 커피,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220318_34%2F1647574022259zMMjj_JPEG%2F1646628374292-4.jpg,67,13,8.51
148,밥집맛,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191030_220%2F1572441068335vdYPr_JPEG%2FdajiogYa7TRxoRVYhWk9317I.jpg,10,15,
