,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
74,이삭토스트 부산장림점,4.53,,443,12,9,7,9.37
75,내고향돼지국밥,4.63,,29,3,1,3,8.99
76,롯데리아 부산장림점,4.44,,642,3,9,3,8.96
79,지코바치킨 장림점,4.42,,99,3,5,3,8.86
80,한솥도시락 장림나산리버빌점,4.52,,172,2,7,2,8.92
81,통큰손칼국수,4.52,,105,6,5,5,9.12
82,바우네감자탕,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190511_134%2F1557566176045oq0Tp_JPEG%2FKrdpfIIVAT6ZMwTj9O2FHt6R.jpg,20,77,0,9,9.41
83,가시어멍 장림점,3.8,,92,1,5,0,8.0
85,본가한옥집김치찜 장림점,4.15,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170517_138%2F1495003076078sWEVD_JPEG%2F186462585754022_0.jpeg,55,6,3,5,8.71
86,칠칠켄터키 장림점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170731_278%2F1501473221660j1mpM_JPEG%2F186678504877081_0.jpeg,111,26,5,8,9.22
87,우돼끼리,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160513_112%2F1463127245878T0U4U_JPEG%2F176460535369441_0.jpeg,37,34,2,9,9.24
88,구공탄꼬리집,4.52,,62,22,3,8,9.32
89,돈단지,4.33,,66,12,3,7,9.05
91,하삼동커피 장림점,4.55,,208,1,8,0,8.81
92,배스킨라빈스 부산장림시장,4.47,,452,10,9,6,9.23
93,낭만연어,4.47,,59,4,3,4,8.95
94,텐퍼센트커피 장림점,4.47,,138,6,6,5,9.09
95,경성술집 부산장림점,4.45,,66,5,3,5,9.01
96,오모가리추어탕,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190125_170%2F1548426739036yhkco_JPEG%2Fbj3sxyQ43MqnUpqxy3LlhcEK.jpeg.jpg,148,6,7,5,9.17
97,고봉민김밥인 부산장림점,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220214_87%2F16448042313851HqxD_PNG%2F%25C0%25DA%25BB%25EA_1.png,374,3,9,3,8.72
98,영이네국수,4.86,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201214_270%2F16079407989953I2LH_JPEG%2FRvEm4tUIMXSgbLTP4w-_Szvz.jpg,13,1,0,0,8.96
99,냉삼집 장림점,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191209_135%2F1575882164394eJ2bi_JPEG%2FOsFmMXJ7j_kgjRRL8VroOQC5.jpg,108,37,5,9,9.52
100,이디야커피 부산효림초교점,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg,103,3,5,3,8.64
103,족발쌀롱장림점,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200111_195%2F1578717302556H4oFp_JPEG%2FwJzfFfO9IloDTuoosZiBZjq-.jpg,83,16,4,7,9.39
104,용문각,4.07,,113,2,6,2,8.45
105,미진축산 장림점,4.6,,138,26,6,8,9.46
106,유정아구찜,4.26,,36,1,2,0,8.4
107,파리바게뜨 장림현대점,4.37,,471,1,9,0,8.65
108,오이공,4.64,,39,19,2,7,9.34
109,땅땅치킨 장림점,4.52,,56,6,3,5,9.08
110,사상재첩국,4.41,,148,8,7,6,9.13
111,토담돼지국밥 장림점,4.25,,181,13,7,7,9.05
112,빽다방 부산장림점,4.25,,229,8,8,6,8.99
113,초원들 축산,4.18,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_177%2F1616634503042prMll_JPEG%2FnYGjKfx32j6gcyswGfICyJK6.jpg,80,8,4,6,8.84
114,바우네나주곰탕 장림점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181105_40%2F1541380257619u9hcF_JPEG%2FUNvM-khl8RJxqfjU7tGaZjn2.jpg,150,3,7,3,8.82
115,이디야커피 부산장림점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg,124,3,6,3,8.87
116,할매돼지국밥,4.52,,37,2,2,2,8.82
117,파리바게뜨 부산장림점,4.26,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_76%2F16498407053847DfbW_PNG%2Fimage.png,589,1,9,0,8.54
119,꾸브라꼬숯불두마리치킨,4.52,,60,5,3,5,9.08
120,그린샤브앤쭈꾸미 본점,4.58,,206,15,7,7,9.38
121,목촌돼지국밥 & 국민삼겹 장림2호점,4.1,,117,22,6,8,8.96
122,원조밀양돼지국밥,4.33,,75,7,4,6,8.99
123,어랑어랑횟집,4.42,,90,6,5,5,9.02
125,커피에반하다 부산장림점 스마트카페,4.38,,67,3,3,3,8.78
126,멕시카나치킨 장림점,4.4,,29,3,2,3,8.78
127,손정순찜닭 장림점,4.63,,16,1,0,0,8.73
128,신전떡볶이 장림점,4.56,,85,2,4,2,8.9
129,처갓집양념치킨 장림점,4.5,,80,3,4,3,8.92
130,노랑통닭 장림점,4.52,,145,3,7,3,9.0
131,땅스부대찌개 부산장림점,4.56,,88,3,4,4,9.06
132,길카롱,4.64,,135,21,6,8,9.5
133,춘해반점,4.25,,24,3,1,4,8.69
134,카페051 장림시장점,4.26,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191218_211%2F1576630013365HmfkO_JPEG%2F3t3O9P-_RfCs43QK1nWOoON1.jpeg.jpg,125,4,6,4,8.8
135,빠마식당,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220308_245%2F1646712898664Iyg82_JPEG%2F7C8BC690-101B-477D-8C0A-6BC2BA9ADD24.jpeg,113,5,6,5,9.14
136,오븐에꾸운닭 장림점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220608_75%2F165465399457928Ep3_JPEG%2F%25BF%25C0%25B2%25D9%25B4%25DF-%25BA%25EA%25B7%25A3%25B5%25E5%25B0%25FC-%25B7%25CE%25B0%25ED.jpg,170,9,7,6,9.2
140,오후반친구,4.75,,31,3,2,4,9.21
141,자담치킨 부산장림점,4.78,,47,4,2,4,9.24
142,가야포차선지국밥장림점,4.56,,257,23,8,8,9.46
144,본동아구찜,4.52,,32,1,2,0,8.66
145,BBQ부산장림점,3.94,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210314_240%2F1615727949953XXV41_PNG%2F_gJiUIMIsP7zd---2Ycu6CFK.png,50,1,3,0,8.1
146,담락참치일잔 장림점,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200111_48%2F1578704007782cFmSC_JPEG%2F2clBa6zUOSIE-3ryx0Cn_JKH.jpg,88,5,5,5,8.99
147,주례축산 장림직영점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191218_125%2F1576596763083mnDUi_JPEG%2FbSt0W3poGEckw6SYEGyibLz-.jpg,20,4,0,4,8.74
148,대부가든,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180812_208%2F1534054833201lTVIB_JPEG%2FXMim4Y5FaxRe-3z6z0q8COa-.jpg,70,3,4,4,8.95
149,해창식당,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200111_171%2F1578702215821CGQiQ_JPEG%2FCE4IIQa1iiQ4edIcgzsuY4q6.jpg,89,6,5,5,9.01
151,썬더치킨 장림1호점,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190114_38%2F1547447221669ge8qA_JPEG%2FVcjji3zZn_OQnuabo7z9HzYb.jpeg.jpg,103,2,5,2,8.88
152,낙원숯불구이,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200205_8%2F1580885566913W12If_JPEG%2Fy7FpjebPD3yV4OoECYnAVYII.jpg,18,1,0,0,8.71
155,민이네돈가스,4.82,,19,10,0,6,9.4
156,데일리커피 부산장림점,4.7,,87,1,4,0,8.88
159,우리동네중국집,3.88,,30,1,2,0,8.02
161,송프로피자,4.63,,112,2,6,2,9.01
163,치킨신드롬 다대2호점,4.23,,75,2,4,2,8.57
164,안아줘커피,4.6,,11,2,0,2,8.86
165,윤식당,4.05,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200111_20%2F1578723231811hgQNH_JPEG%2Fc5oHm7IQ9HmIgMYyRWQp9tpf.jpg,17,3,0,4,8.47
166,윤포차,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200312_221%2F1584009147241jUmnO_JPEG%2FS-sOLtfLu1JyBzHlPooBhim4.jpg,28,8,1,6,9.29
172,티바두마리치킨 부산장림점,4.63,,74,5,4,5,9.21
173,치킨신드롬 장림본동점,4.29,,125,1,6,0,8.51
