,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
54,오복삼계탕,4.35,,120,18,8.45
55,하이오커피 동구청점,4.57,,219,11,8.81
56,만복국수집 부산진역점,4.53,,104,12,8.63
57,텐퍼센트커피 부산진역점,4.55,,213,10,8.79
58,본죽 부산진역점,4.47,,417,8,8.85
59,굽네치킨 부산수정점,4.45,,24,1,8.55
60,피자헛 부산진역점,4.42,,618,20,8.94
61,천후,4.55,,88,99,8.65
62,마제 부산본점,,,38,15,
63,맘스터치 수정점,4.54,,258,,
64,블루샥 부산진역점,4.95,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211214_57%2F1639455431334mcoFY_JPEG%2F20211026_142332.jpg,59,13,9.05
65,센 이자까야,5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210809_82%2F1628493728048XJkKn_JPEG%2FN9P5PMqEHQ_2xA0Ligh_g8nC.jpg,18,3,9.1
66,골목안국수집,4.38,,75,9,8.48
67,유가네닭갈비 부산진역점,4.18,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200227_168%2F1582781176918XiVPI_PNG%2FSXlCZCIAbbp8qXO531FhjnsI.png,147,11,8.28
68,산쪼메초량점,4.36,,108,30,8.46
69,이대충무할매김밥,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180530_136%2F1527663379454ziGHg_JPEG%2FST7N5azyWG2U6KzDNn6kf4RJ.jpeg.jpg,349,4,8.64
70,맛조이 샤브샤브,4.4,,50,6,8.5
71,천일도매횟집,4.1,,239,174,8.34
72,컴포즈커피 부산진역점,4.47,,340,4,8.78
73,핵밥 부산진역점,,,99,11,
74,수정동갈빗집,4.42,,97,29,8.52
75,청기와식당,4.36,,179,11,8.46
76,본전참숯뒤통구이,,,110,12,
77,우쿠야 초량점,4.27,,130,7,8.37
78,덕화원,4.52,,126,13,8.62
79,미조,4.19,,130,18,8.29
80,파리바게뜨 부산수정점,4.33,,863,2,8.92
81,디케이치킨 동키치킨 부산진역점,4.52,,93,14,8.62
82,고관함흥냉면,4.19,,197,11,8.29
83,던킨 부산메리츠타워점,4.3,,239,4,8.54
84,거창통닭,4.45,,167,33,8.55
85,수미식당,4.7,,60,6,8.8
86,창녕식당,4.55,,78,22,8.65
87,진역밀면,4.52,,379,31,8.83
88,메가커피 동구청점,4.26,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210419_15%2F1618799514266dpqIQ_JPEG%2FjXau5sxWkH0-PzYPnXngJ1NO.JPG.jpg,349,4,8.57
89,이삭토스트 부산수정점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200302_178%2F1583135078675S5ieB_PNG%2F%25C7%25DC%25BD%25BA%25C6%25E4%25BC%25C8%25C5%25E4%25BD%25BA%25C6%25AE.png,356,9,8.8
