,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
122,초록꼬마김밥,4.51,,918,14,9,2,8.95
123,당리당,4.72,,84,86,2,7,9.42
124,옥미아구찜 하단점,4.41,,251,58,6,6,9.11
125,미친막창,4.87,,39,23,0,3,9.21
126,전주명품콩나물국밥,4.28,,127,10,3,1,8.52
128,언양숯불갈비,4.44,,445,198,7,9,9.4
129,카페플랜트370,4.44,,792,305,9,9,9.44
130,나누면,4.54,,142,26,4,4,9.04
131,연지김밥,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200213_103%2F15815804584232mqI3_JPEG%2FKQqbOsxFjvPCd96mFhX5rF1q.jpeg.jpg,68,3,1,0,8.69
133,가마치통닭 부산 사하점,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210702_193%2F1625212005381kbxTB_JPEG%2FwGySaxM0MAWhywHgwC7R7ws2.jpg,113,2,2,0,8.49
134,담양청국장보리밥,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190125_192%2F1548425281510M7XQ0_JPEG%2FHMqKbQD2pG7tNvNs30iqGhdS.jpeg.jpg,122,10,3,1,8.7
135,복돌양곱창,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180621_37%2F152954026267003b9h_JPEG%2F_5a-jaLvKunWzugQvlz9apm1.jpg,178,84,4,7,9.15
136,던킨 부산괴정점,4.48,,489,6,8,0,8.74
137,징기스 하단점,4.55,,189,107,4,8,9.37
138,이디야커피 부산괴정대로점,4.33,,348,6,7,0,8.57
139,오사카삼겹살 괴정점,4.24,,336,18,6,3,8.7
140,부산양곱창,4.4,,138,97,4,8,9.22
141,양정명동찌개마을 당리점,4.49,,149,49,4,5,9.07
143,참치공장,4.53,,58,74,1,7,9.21
144,카페051 사하구청점,4.86,,365,5,7,0,9.1
145,행복수산착한대게 사하점,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161108_60%2F1478591223409mNbXq_JPEG%2F177053565637897_0.jpeg,53,60,1,6,9.21
146,설빙 부산괴정점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150902_123%2F1441120916511cHP1Y_JPEG%2F156478517635612_0.jpeg,210,104,5,8,9.25
148,홍갓츠,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211223_182%2F1640262135662IQuWS_JPEG%2F20211013_184546_HDR.jpg,311,159,6,9,9.66
149,명품포항물회,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170713_10%2F1499929092714cguur_JPEG%2F186663558832069_0.jpeg,134,19,3,3,8.72
150,오복정,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180327_247%2F1522125962390PUhkj_JPEG%2FGSpWQHNhmLjXRzkG5JCois_9.jpg,85,27,2,4,8.87
152,거인통닭,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190707_133%2F1562490287599Ir24o_JPEG%2F4c_Y56YajaN8BjIhwF54cN4v.jpg,24,6,0,0,8.73
154,향촌돼지국밥,4.53,,411,39,7,5,9.17
155,고향한우,4.44,,184,45,4,5,9.02
156,카페오후6시,4.77,,44,108,1,8,9.53
157,신센,4.64,,28,12,0,2,8.9
159,도담,4.5,,88,54,2,6,9.12
160,배스킨라빈스 부산당리,4.54,,1086,8,9,1,8.9
161,우마이찬,4.44,,68,37,1,5,8.96
162,메이드인제이,4.45,,169,143,4,8,9.27
163,남해기사식당,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191209_65%2F1575886404761R1BbL_JPEG%2F2IaFbxusEh7KLxE4HEjrqeXZ.jpg,311,95,6,7,9.16
165,오리명가빨간집,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200605_200%2F15913055567376KRJu_JPEG%2F7dOvWn2tI92ir6DchYFzZ_kI.jpg,54,44,1,5,9.0
167,천둥산생오리,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180624_258%2F15298203416062roA6_JPEG%2FGPwPhlsXav7w3Rg_-RRB9r7U.jpg,37,6,0,0,8.56
168,배스킨라빈스 부산괴정점,4.49,,885,14,9,2,8.93
169,임광선커피,4.57,,106,34,2,5,9.11
170,봉추찜닭 부산하단점,4.44,,297,54,6,6,9.14
172,카페 누온 & 이유있는 술집,4.57,,68,20,1,3,8.93
174,영이네 고향양꼬치,4.58,,43,50,1,6,9.18
