,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
107,어울렁꼬지,4.75,,14,5,8.85
108,키다리횟집,4.28,,80,121,8.38
109,흑산도집,,,9,3,
110,자갈치원조연탄불산꼼장어 김천횟집,4.14,,193,46,8.24
111,돌솥밥집,4.57,,273,246,8.87
112,부산숯불갈비,4.38,,965,300,9.06
113,순이네,3.83,,13,8,7.93
114,백화양곱창6호,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220130_59%2F1643509508406r7gU9_JPEG%2F1625054365060.jpg,22,8,
115,태평양횟집,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180201_66%2F1517464668830b2TsF_JPEG%2F-SOQCqEbkCjjpzMaqwNrcL-O.jpg,43,12,8.49
116,수림식당 롯데백화점광복점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210922_178%2F16322795885508QR6c_JPEG%2F42VwAbspOijAZwt4Uu5ShLMw.jpg,75,25,8.42
117,꼬지사께 자갈치역점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170919_149%2F1505796021071gKLg0_JPEG%2FhysRblWcR1bn6_GJXs6H-_M8.jpg,55,29,8.5
118,디저트39 부산남포점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_223%2F1647793462166Xmjzu_JPEG%2FFE51B95B-BEB9-45AD-969B-95EC46615AAD.jpeg,261,28,
119,남해전도횟집,4.67,,17,44,8.77
120,통돼지김치찌개,,,,,
121,대광양곱창7호,4.54,,50,25,8.64
122,맛샘,4.69,,77,1,8.79
123,충무생아구찜,4.62,,23,1,8.72
124,시민제과,4.34,,889,28,8.93
125,오색면전,4.31,,571,82,8.76
126,아슬란 롯데광복점,4.34,,539,19,8.79
127,더플레이스 부산광복롯데백화점점,,,697,194,
128,돼지초밥,4.29,,34,22,8.39
129,오케이포차,,,9,2,
130,모시모시 롯데백화점광복점,4.37,,311,267,8.74
131,창녕상회,4.59,,104,94,8.69
132,양지식당,4.47,,136,12,8.57
133,스쿨푸드 부산광복롯데점,4.28,,262,70,8.52
134,제일횟집,4.1,,137,67,8.2
135,준코 남포점,4.29,,29,1,8.39
136,경복궁 불고기 광복점,4.43,,282,12,8.67
137,겐짱카레,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161123_21%2F1479877950957Fq5l2_JPEG%2F177073544250311_0.jpeg,359,187,8.92
138,소문난똥집이모,4.33,,127,267,8.49
139,남해양곱창,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180508_286%2F1525759547199QodLE_JPEG%2FT9pqwvDicRKcuVIlj29D_uTh.jpg,22,12,8.6
140,동두천부대찌개,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161121_122%2F1479704975121XFUyO_JPEG%2F177065534277198_0.jpeg,129,67,8.57
141,궁중삼계탕,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_47%2F1441001694795MkImb_JPEG%2F106763506622690_0.jpg,77,26,8.66
142,몬도가네양곱창,4.47,,61,25,8.57
143,동원양곱창6호,,,4,1,
144,바른김밥,,,66,,
145,분짜라붐 남포점,4.39,,775,415,9.1
146,만나명품돼지,4.73,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210118_39%2F1610959675769ViU6U_JPEG%2F1CkBrKwMCSVM--yYfm3M9bJ-.jpg,82,5,8.83
147,뉴리틀인디아,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_46%2F1441102449700iRfoF_JPEG%2F136652574676910_0.jpeg,72,74,8.54
148,본가 남포점,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190211_237%2F15498508739390iRJg_JPEG%2FMS03DJ_JDFUggynGesk49p4j.jpg,445,54,8.74
149,농부바게트,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200913_80%2F1599975123872u8E06_JPEG%2Fm_5mnC0ZIxopBIzKNuxG7_tC.jpeg.jpg,93,9,8.77
150,블라인드,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220427_258%2F1651034331813w9vFD_JPEG%2F3_1e5Ud018svc1sdp7kcgnmu59_ayan7p.jpg,,,
151,아르떼 마르코 롯데백화점광복점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220515_295%2F1652592994043UJikV_JPEG%2FKakaoTalk_20220509_170113889.jpg,17,6,
