,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
113,청년다방 부산연산점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171206_212%2F1512550181757nL49S_JPEG%2Fe-Sp3lUz_GdHzfH-QKm802Yd.jpg,312,53,5,1,8.77
114,한방장어구이,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160115_69%2F14528239484586v8SS_JPEG%2F176061606548712_0.jpeg,957,213,8,7,9.2
115,호야스시,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220316_239%2F1647419455516sU8Ht_JPEG%2FDSC05641.jpg,303,84,5,3,8.8
117,호맥 부산시청점,4.73,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201120_133%2F1605852558066ID4mT_JPEG%2F0r35ygByKHoLHY85tXt4FYni.jpg,136,47,2,1,8.95
118,남해 횟집,4.33,,122,107,2,4,8.79
119,수림식당 연산점,4.54,,350,126,6,5,9.16
121,어나더미네스,4.72,,264,395,5,8,9.56
124,투썸플레이스 부산연산점,4.41,,504,41,7,1,8.73
125,오연어,4.86,,190,124,3,5,9.42
126,70연탄 시청본점,4.57,,206,180,4,6,9.23
127,동래밀면 본점,4.46,,2160,533,9,9,9.46
128,내사랑족발,4.42,,440,266,7,8,9.3
130,오늘그림한장,4.93,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210602_179%2F1622622545134cJjuF_JPEG%2FAXd2tER8AUBXkRD_OdW6g-X5.jpeg.jpg,152,80,2,3,9.31
131,금성녹두삼계탕,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_158%2F1647838662501y8198_JPEG%2F1639036898355.jpg,138,13,2,0,8.49
132,오복미역 연산점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170622_226%2F1498092844032kFY2r_JPEG%2F186572498379988_0.jpeg,333,43,6,1,8.7
133,가배재,4.66,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210807_211%2F16283376376442gG8E_JPEG%2FfSiPq4TQp7d3Ww4bvvkODSxo.jpeg.jpg,184,105,3,3,9.06
136,소문난 시장칼국수 거제시장 본점,4.48,,290,148,5,6,9.16
139,발레스,4.67,,268,90,5,3,9.11
140,취원,4.36,,723,169,8,6,9.1
142,미야,4.5,,423,117,7,4,9.06
143,글라스앤보틀,4.7,,23,56,0,2,8.96
144,까까,4.87,,124,109,2,4,9.33
145,예림통닭,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200426_77%2F1587829229473wX98t_JPEG%2F8t4mIvFm3IDyXQJnmdlGhTXR.jpg,87,90,1,3,8.71
147,단물곤물 거제점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190419_16%2F1555650474952ggtQ9_JPEG%2FFEo2ISvlg6iA-tJZgZXV6Mqa.jpg,82,117,1,4,8.84
148,정든키친,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211006_263%2F16334870769751r3FF_JPEG%2F7GcveGRiwG0W6PGGrFGXHUDo.jpg,137,47,2,1,8.93
149,진국명가 온천천점,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211213_81%2F1639362723955bJ9Xh_JPEG%2FDSC01428.JPG,1752,302,9,8,9.23
150,아뜰리에마롱,4.62,,913,55,8,1,8.96
151,가야할매 밀면,4.18,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_292%2F1441057208340ue6qE_JPEG%2F156155406930009_0.jpg,224,50,4,1,8.44
152,스시류,4.84,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200306_257%2F1583423535332Lzozj_JPEG%2Fa6spnDZT13b76WLbL0ykYmp8.jpg,43,91,0,3,9.18
153,뚜뚜이,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191217_28%2F15765210701220v4TA_JPEG%2FS4zZ6MZRA01WeZZvNwtbVw0Y.jpeg.jpg,32,112,0,4,9.02
155,고명화돼지국밥 연산점,4.24,,194,122,3,4,8.72
156,유가네닭갈비 부산시청점,4.41,,412,345,6,8,9.27
157,월월월 앳더 모먼츠,4.76,,103,183,1,6,9.36
159,제주옥탑 연산점,4.78,,153,216,3,7,9.5
160,호야짬뽕1650 시청본점,4.7,,297,122,5,4,9.22
161,독도참가자미,4.44,,326,73,5,2,8.8
162,보느파티쓰리,4.67,,1008,428,9,9,9.67
163,용문각,4.37,,1161,88,9,3,8.89
164,모노스코프,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180117_161%2F1516200317772HDKPl_JPEG%2F6AATdIf5f1J3KV8gmnmikXSH.jpg,313,172,5,6,9.18
165,최가네엄마낙지,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170911_180%2F15051167140433uiaH_JPEG%2Fgbo-Nejy-pTnnk-olGr5aBNC.jpg,590,135,7,5,9.18
167,손영환비빔국수,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_259%2F14409982099910SacL_JPEG%2F156779527170817_1.jpeg,478,128,7,5,9.06
168,연산숯불왕갈비,4.19,,220,103,4,3,8.61
170,산청강마을어탕국수,4.22,,432,55,7,2,8.62
171,울릉도소주방,4.47,,381,145,6,6,9.17
172,부산댁,4.67,,135,127,2,5,9.21
173,남자마늘보쌈 연산동점,4.33,,352,56,6,2,8.71
174,애정집,4.63,,164,130,3,5,9.19
175,팔미초밥,4.43,,111,62,1,2,8.71
176,크래프트한스 부산연산시청점,4.46,,184,51,3,1,8.7
177,갈막,4.4,,46,119,0,4,8.82
178,고기굽는남자 연산점,4.69,,411,164,6,6,9.39
179,채선당 플러스 연산점,4.38,,997,169,9,6,9.14
180,흥안양꼬치,4.78,,149,296,2,8,9.56
181,신참떡볶이 부산시청점,4.67,,119,37,2,1,8.89
182,스타벅스 연산중앙로점,4.51,,3779,113,9,4,9.11
183,우가네왕김밥,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191211_45%2F1576035380642X6MsF_JPEG%2Fw6kQVjOa4Xuo6mhH6W-qxCoj.jpg,790,24,8,0,8.64
184,장수흑염소,5.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210829_58%2F1630227131984SdLei_JPEG%2FdLSU5TUfH0SY7VtqjSPzGsPQ.jpg,34,45,0,1,9.18
186,팔도오돌뼈,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210422_203%2F1619091733162D3RKu_JPEG%2FDFK6EPYFBVifRymZefBRrPuZ.jpg,150,9,2,0,8.63
187,리짙커피로스터스,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201102_55%2F16042960141416Inxy_JPEG%2F8xHT3AAS6KUqfKZtGyElvmRf.jpg,314,240,5,7,9.33
188,장박사양곱창전문점,4.28,,81,247,1,7,8.96
189,화수목,4.33,,29,131,0,5,8.83
190,부잣집식당 본점,4.36,,662,211,8,7,9.18
191,마지,4.31,,55,69,0,2,8.57
192,멧집,4.51,,92,21,1,0,8.63
193,어부심 해풍코다리 시청점,4.29,,470,71,7,2,8.69
194,진주통닭 2호점,4.52,,296,74,5,2,8.88
195,프랭크버거 연산역점,4.5,,1126,59,9,2,8.94
196,명품물회 동래점,4.18,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200716_151%2F15948660068286kW5R_JPEG%2Fw_bRZtMPZHwXwES1I7HgJe38.jpeg.jpg,834,54,8,1,8.52
197,산청한방오리,4.7,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190704_248%2F1562251463020psRCM_JPEG%2FB-49Z89Guxa8uy13ES798Ay6.jpg,214,28,4,0,8.88
